feature,spearman_rho,absolute_rho,exact_p_value,bh_q_value,loo_direction_stability
upos_adp_ratio,0.22110831935702663,0.22110831935702663,0.5492063492063493,0.9542460317460317,0.9
deprel_appos_ratio,0.2177598558933893,0.2177598558933893,0.5626984126984127,0.9656182637664119,0.9
discourse_enumeration_markers_per_10k_cjk,-0.21513263648747322,0.21513263648747322,0.5984126984126984,0.967201919527501,1.0
surface_semicolon_density,-0.21513263648747322,0.21513263648747322,0.5984126984126984,0.967201919527501,1.0
surface_colon_density,0.2034892318891199,0.2034892318891199,0.5920634920634921,0.967201919527501,0.9
graph_unique_proposition_ratio,-0.20161945963637798,0.20161945963637798,0.5801587301587302,0.967201919527501,0.8
discourse_contrast_markers_per_10k_cjk,-0.19245008972987526,0.19245008972987526,1.0,1.0,0.9
surface_question_sentence_ratio,-0.19245008972987526,0.19245008972987526,1.0,1.0,0.9
syntax_second_person_pronoun_ratio,-0.19245008972987526,0.19245008972987526,1.0,1.0,0.9
graph_mean_proposition_argument_count,-0.18090680674665816,0.18090680674665816,0.6333333333333333,0.9754385964912281,0.8
surface_mean_sentence_cjk_chars,0.18090680674665816,0.18090680674665816,0.6333333333333333,0.9754385964912281,1.0
syntax_dependency_distance_cv,0.18090680674665816,0.18090680674665816,0.6333333333333333,0.9754385964912281,0.9
deprel_csubj_ratio,0.1715380055740472,0.1715380055740472,0.6507936507936508,0.9754385964912281,0.9
syntax_first_person_pronoun_ratio,-0.16984155512168939,0.16984155512168939,0.6428571428571429,0.9754385964912281,1.0
deprel_nsubj_ratio,0.16080605044147392,0.16080605044147392,0.6682539682539682,0.9754385964912281,0.8
deprel_advcl_ratio,0.14070529413628968,0.14070529413628968,0.7095238095238096,0.9754385964912281,0.9
deprel_punct_ratio,0.14070529413628968,0.14070529413628968,0.7095238095238096,0.9754385964912281,0.8
surface_punctuation_entropy_bits,0.14070529413628968,0.14070529413628968,0.7095238095238096,0.9754385964912281,0.9
syntax_coordinate_relation_ratio,-0.14070529413628968,0.14070529413628968,0.7095238095238096,0.9754385964912281,0.8
syntax_lexical_token_entropy_bits,-0.14070529413628968,0.14070529413628968,0.7095238095238096,0.9754385964912281,0.9
syntax_token_length_cv,0.14070529413628968,0.14070529413628968,0.7095238095238096,0.9754385964912281,0.9
upos_punct_ratio,0.14070529413628968,0.14070529413628968,0.7095238095238096,0.9754385964912281,0.8
surface_digit_ratio,0.1358732440973515,0.1358732440973515,0.7857142857142857,0.9754385964912281,0.8
discourse_directive_markers_per_10k_cjk,0.13105264876364567,0.13105264876364567,0.726984126984127,0.9754385964912281,0.9
deprel_iobj_ratio,-0.1236548417073745,0.1236548417073745,0.65,0.9754385964912281,0.9
surface_adjacent_sentence_length_change,0.12060453783110545,0.12060453783110545,0.7571428571428571,0.9754385964912281,0.8
surface_repeated_char_ngram_ratio,-0.12060453783110545,0.12060453783110545,0.7571428571428571,0.9754385964912281,0.7
syntax_dependency_distance_max,0.11089070280000789,0.11089070280000789,0.7682539682539683,0.9754385964912281,0.9
discourse_hedge_markers_per_10k_cjk,0.1072112534837795,0.1072112534837795,0.7817460317460317,0.9754385964912281,0.8
upos_propn_ratio,-0.10174461594455995,0.10174461594455995,0.7896825396825397,0.9754385964912281,0.7
deprel_acl_ratio,0.1005037815259212,0.1005037815259212,0.8,0.9754385964912281,0.7
deprel_aux_ratio,-0.1005037815259212,0.1005037815259212,0.8,0.9754385964912281,0.8
deprel_flat_ratio,-0.1005037815259212,0.1005037815259212,0.8,0.9754385964912281,0.8
surface_ascii_letter_ratio,0.1005037815259212,0.1005037815259212,0.8,0.9754385964912281,0.8
surface_cjk_char_entropy_bits,-0.1005037815259212,0.1005037815259212,0.8,0.9754385964912281,0.7
surface_cjk_ratio,-0.1005037815259212,0.1005037815259212,0.8,0.9754385964912281,0.7
syntax_crossing_arc_ratio_mean,-0.1005037815259212,0.1005037815259212,0.8,0.9754385964912281,0.7
deprel_case_ratio,-0.08040302522073696,0.08040302522073696,0.8396825396825397,0.9891175679311273,0.6
deprel_obj_ratio,-0.08040302522073696,0.08040302522073696,0.8396825396825397,0.9891175679311273,0.7
graph_surface_chars_per_unique_proposition,-0.08040302522073696,0.08040302522073696,0.8396825396825397,0.9891175679311273,0.6
surface_mean_paragraph_cjk_chars,-0.08040302522073696,0.08040302522073696,0.8396825396825397,0.9891175679311273,0.7
hypothesis_meta_frames_per_1k_cjk,0.0741929050244247,0.0741929050244247,0.8722222222222222,1.0,0.8
discourse_framing_markers_per_10k_cjk,-0.07172191381865586,0.07172191381865586,1.0,1.0,0.9
surface_mean_sentences_per_paragraph,-0.07056681087273228,0.07056681087273228,0.8611111111111112,1.0,0.7
syntax_max_nonleaf_branching,-0.06142951168339512,0.06142951168339512,0.8674603174603175,1.0,0.6
upos_aux_ratio,0.06030226891555272,0.06030226891555272,0.8904761904761904,1.0,0.7
syntax_max_tree_depth,-0.043183351708753044,0.043183351708753044,0.9642857142857143,1.0,0.7
deprel_amod_ratio,-0.04020151261036848,0.04020151261036848,0.9317460317460318,1.0,0.6
deprel_conj_ratio,-0.04020151261036848,0.04020151261036848,0.9317460317460318,1.0,0.7
graph_argumentless_proposition_ratio,0.04020151261036848,0.04020151261036848,0.9317460317460318,1.0,0.6
surface_paragraph_length_cv,0.04020151261036848,0.04020151261036848,0.9317460317460318,1.0,0.7
surface_quote_mark_density,-0.04020151261036848,0.04020151261036848,0.9317460317460318,1.0,0.7
upos_x_ratio,-0.04020151261036848,0.04020151261036848,0.9317460317460318,1.0,0.6
graph_isolated_sentence_ratio,-0.011322770341445958,0.011322770341445958,1.0,1.0,0.4
graph_largest_component_sentence_coverage,0.011322770341445958,0.011322770341445958,1.0,1.0,0.4
graph_zero_adjacent_bridge_ratio,-0.010080972981818898,0.010080972981818898,0.9928571428571429,1.0,0.5
deprel_cc_ratio,0.0,0.0,1.0,1.0,0.0
surface_sentence_length_cv,0.0,0.0,1.0,1.0,0.0
upos_cconj_ratio,0.0,0.0,1.0,1.0,0.0
