feature,family,hedges_g,cliffs_delta,loo_stability,translation_removed_g,source_to_time_abs_g_ratio,permutation_p_value,q_value,ranking_score
deprel_vocative_ratio,dependency_relation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
surface_compression_ratio,repetition_and_regularity,-0.06237737975306958,-0.22,0.65,0.032440464385169836,1.5142427864594463,0.8845057487487793,0.9975628745286984,0.0
surface_exact_paragraph_repeat_ratio,repetition_and_regularity,0.1470794275216986,-0.02,0.85,-0.058850350935030986,2.203910988543228,0.7107144594192505,0.9819928926365976,0.0
syntax_content_word_ratio,token_and_lexical,-0.0069794960060210335,0.0,0.55,0.08056886838395232,19.36750245847549,0.9869506359100342,1.0,0.0
syntax_dependency_distance_median,dependency_syntax,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
syntax_first_person_pronoun_ratio,token_and_lexical,0.21013853660527823,-0.12,0.95,-0.5077020612476406,0.872961364655007,0.8648567199707031,0.9827917272394354,0.0
syntax_pos_trigram_entropy_bits,dependency_syntax,0.011362505204666772,0.02,0.55,-0.19612311375205274,53.83861276244666,0.9780510663986206,1.0,0.0
title_quote_present,title_form,0.0,0.0,0.0,0.049269618885080184,0.0,1.0,1.0,0.0
upos_cconj_ratio,universal_pos,-0.10134060965843747,-0.26,0.9,0.005011209100557991,2.9196466229954705,0.834858238697052,0.9819928926365976,0.0
upos_intj_ratio,universal_pos,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
upos_noun_ratio,universal_pos,-0.09344235908502004,-0.12,0.8,0.02787179135951139,4.022064517652921,0.8312584161758423,0.9819928926365976,0.0
upos_x_ratio,universal_pos,-0.04723360025597264,0.02,0.65,0.04399985545137311,3.4639586416577903,0.914054274559021,1.0,0.0
