feature,family,pre_huber_location,post_huber_location,robust_effect_post_minus_pre,unweighted_hedges_g,direction_matches_unweighted,translation_removed_robust_effect,translation_removed_direction_consistent,pre_effective_n,post_effective_n,minimum_effective_fraction,loo_direction_stability,permutation_p_value,q_value,ranking_score
surface_comma_density,punctuation,0.045377478638199874,0.03947748094271704,-0.7704415618632813,-0.47676847909763337,True,-0.8462870737623625,True,9.851807631468489,8.910547376697622,0.8910547376697622,1.0,0.16976604679064186,0.6078144371125774,0.6865056037959679
syntax_token_count,dependency_syntax,1793.1,3028.943462489192,0.7348458054412531,0.7492893222981982,True,0.5360978310129738,True,10.0,9.31521113208873,0.9315211132088731,1.0,0.15496900619876025,0.6078144371125774,0.6845243827215071
graph_abstract_shell_count_per_100_cjk,discourse_graph,0.5941932734983915,0.8920443934843101,0.695653715980267,0.737738044675134,True,0.7179332757066343,True,9.999880752006783,9.80348987824907,0.9803489878249071,1.0,0.1861627674465107,0.6078144371125774,0.6819834163378902
graph_largest_component_sentence_coverage,discourse_graph,0.987010807558183,0.9713624943806275,-0.6898160156215332,-0.7228450718228469,True,-0.6547357020276808,True,10.0,9.882812151158362,0.9882812151158362,1.0,0.23635272945410918,0.6449625329171453,0.6817322101248134
title_body_cjk_type_overlap,title_form,0.9889030729226232,0.9556755651779547,-0.7255677235453243,-0.47169673765092546,True,-0.7801492810603624,True,9.346324780556127,9.718851491635565,0.9346324780556128,1.0,0.22795440911817635,0.6449625329171453,0.6781391594543362
deprel_case_ratio,dependency_relation,0.07872903222504905,0.06888436532854701,-0.6878915210381357,-0.49132035741236546,True,-0.4538334822729083,True,9.92596524728073,9.85131232985161,0.9851312329851609,1.0,0.1865626874625075,0.6078144371125774,0.6776634222803364
graph_zero_adjacent_bridge_ratio,discourse_graph,0.24025903186465064,0.38442806261783674,0.6660500783845543,0.8242720858990746,True,0.5310174923094834,True,10.0,10.0,1.0,1.0,0.17556488702259548,0.6078144371125774,0.6660500783845543
upos_verb_ratio,universal_pos,0.15669084835185482,0.1495049903438256,-0.6760877116030418,-0.39949451019196247,True,-0.6778935884912395,True,9.711745017040709,9.723240647697919,0.9711745017040709,1.0,0.23635272945410918,0.6449625329171453,0.6565991464243297
syntax_sentence_count,dependency_syntax,59.8,113.04136249975235,0.7028847372755387,0.72733466500709,True,0.48966061866292965,True,10.0,9.215304778882563,0.9215304778882564,1.0,0.20455908818236354,0.6213964754218968,0.6477297078418887
syntax_lexical_token_count,token_and_lexical,1561.1,2555.737137486041,0.6933586248634325,0.7290162530927792,True,0.4887396247872718,True,10.0,9.340105398373051,0.9340105398373051,1.0,0.17236552689462106,0.6078144371125774,0.647604263509546
surface_parenthesis_density,punctuation,0.0036516415566601418,0.006565711823550492,0.6487179687614456,0.6305680206964349,True,0.7771343673675114,True,9.908912881760962,10.0,0.9908912881760962,1.0,0.18496300739852028,0.6078144371125774,0.6428089837290094
deprel_parataxis_ratio,dependency_relation,0.017413977943260536,0.013249242176283108,-0.6343949051530534,-0.7600999252237504,True,-0.5801428296545627,True,10.0,9.95802600194192,0.9958026001941921,1.0,0.15536892621475704,0.6078144371125774,0.6317320961013585
discourse_contrast_markers_per_10k_cjk,discourse_and_stance,6.293374829445483,1.9224363045905968,-0.6902826891720528,-0.6400124724576567,True,-0.5617924369932782,True,10.0,9.096419180251981,0.9096419180251981,1.0,0.17036592681463708,0.6078144371125774,0.6279100693580578
surface_sentence_count,document_structure,60.6,112.94434999985774,0.6807218256798766,0.7165843188892271,True,0.4725544409763432,True,10.0,9.156182774115853,0.9156182774115853,1.0,0.21995600879824034,0.6438712257548491,0.6232813454254781
graph_isolated_sentence_ratio,discourse_graph,0.012989192441816922,0.02716363801192578,0.6277735964734718,0.6891689833361959,True,0.6567211507395556,True,10.0,9.869273691967981,0.9869273691967981,1.0,0.2553489302139572,0.6739537338433953,0.6195669440187759
deprel_dislocated_ratio,dependency_relation,0.00016556778639049716,0.00033316414596817906,0.6428240696626469,0.6086459615390672,True,0.05193957572546389,True,9.962718893396284,9.295952362384314,0.9295952362384314,1.0,0.5490901819636073,0.8840351929614078,0.5975661928977982
deprel_appos_ratio,dependency_relation,0.008534092749687297,0.011615497092702293,0.6126699636477482,0.5597197311626683,True,0.6463785300753145,True,9.718074200785944,9.738047953312321,0.9718074200785944,1.0,0.33513297340531895,0.8053195331083037,0.5953972167321644
syntax_second_person_pronoun_ratio,token_and_lexical,0.0004827911518987929,0.0029219778273824296,0.6406172498129783,0.6095813348308645,True,0.42727823626866984,True,9.243622232460268,9.611622134851439,0.9243622232460268,1.0,0.1757648470305939,0.6078144371125774,0.5921623852868799
syntax_subordinate_relation_ratio,dependency_syntax,0.10025574108988453,0.09254435450083107,-0.5495576493965717,-0.6646106141388858,True,-0.732062878634155,True,10.0,10.0,1.0,1.0,0.23315336932613479,0.6449625329171453,0.5495576493965717
discourse_all_markers_per_10k_cjk,discourse_and_stance,44.257793618067865,33.57176635704851,-0.5591801086226218,-0.6257843430581826,True,-0.6398121396418456,True,9.472581041916937,10.0,0.9472581041916938,1.0,0.2509498100379924,0.6733819902686129,0.5296878895955701
deprel_cop_ratio,dependency_relation,0.010233831428248404,0.007906651646178271,-0.5503292904764453,-0.201445668358242,True,-0.9027607878395542,True,9.969063624364995,9.356570820925626,0.9356570820925626,1.0,0.41571685662867425,0.8786310153699598,0.5149194981172611
discourse_summary_markers_per_10k_cjk,discourse_and_stance,0.0,0.23808943185444423,0.5303300858634566,0.5804882557239354,True,0.26516504294281873,True,10.0,9.453309200118353,0.9453309200118353,1.0,0.45570885822835433,0.8786310153699598,0.5013374279792571
surface_exact_sentence_repeat_ratio,repetition_and_regularity,0.0,0.0008578075700567381,0.5303300846020753,0.5908273732934088,True,0.265165042863126,True,10.0,9.438347878692575,0.9438347878692575,1.0,0.4807038592281544,0.8786310153699598,0.5005439829010851
upos_sym_ratio,universal_pos,0.0,1.9992629799262513e-05,0.5303300454304735,0.6291753300488655,True,0.26516503981098416,True,10.0,9.368412032591705,0.9368412032591704,1.0,0.47030593881223753,0.8786310153699598,0.49683503788557526
discourse_metadiscourse_markers_per_10k_cjk,discourse_and_stance,0.0,0.29077268944651014,0.5303300858865133,0.6316645763797477,True,0.6060915267248375,True,10.0,9.36375111136492,0.936375111136492,1.0,0.47170565886822635,0.8786310153699598,0.49658789311100926
